den	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	over9
1	1000000	0	0	0	0	0	0	0	0	0	0
2	1000000	0	0	0	0	0	0	0	0	0	0
3	1000000	0	0	0	0	0	0	0	0	0	0
4	1000000	0	0	0	0	0	0	0	0	0	0
5	1000000	0	0	0	0	0	0	0	0	0	0
6	1000000	0	0	0	0	0	0	0	0	0	0
7	1000000	0	0	0	0	0	0	0	0	0	0
8	1000000	0	0	0	0	0	0	0	0	0	0
9	1000000	0	0	0	0	0	0	0	0	0	0
10	1000000	0	0	0	0	0	0	0	0	0	0
11	1000000	0	0	0	0	0	0	0	0	0	0
12	997849	2151	0	0	0	0	0	0	0	0	0
13	1000000	0	0	0	0	0	0	0	0	0	0
14	995198	4802	0	0	0	0	0	0	0	0	0
15	1000000	0	0	0	0	0	0	0	0	0	0
16	993030	6970	0	0	0	0	0	0	0	0	0
17	1000000	0	0	0	0	0	0	0	0	0	0
18	990696	9126	178	0	0	0	0	0	0	0	0
19	1000000	0	0	0	0	0	0	0	0	0	0
20	989177	10823	0	0	0	0	0	0	0	0	0
21	999566	0	434	0	0	0	0	0	0	0	0
22	987378	12622	0	0	0	0	0	0	0	0	0
23	999787	213	0	0	0	0	0	0	0	0	0
24	985548	13778	645	29	0	0	0	0	0	0	0
25	999969	31	0	0	0	0	0	0	0	0	0
26	976062	23889	49	0	0	0	0	0	0	0	0
27	994889	4270	841	0	0	0	0	0	0	0	0
28	976409	23487	47	57	0	0	0	0	0	0	0
29	997186	2739	75	0	0	0	0	0	0	0	0
30	980438	18496	1052	0	14	0	0	0	0	0	0
31	995938	4062	0	0	0	0	0	0	0	0	0
32	977147	22603	138	112	0	0	0	0	0	0	0
33	991362	7358	1280	0	0	0	0	0	0	0	0
34	944156	55266	568	10	0	0	0	0	0	0	0
35	987519	12155	284	21	21	0	0	0	0	0	0
36	935614	60144	4044	193	3	2	0	0	0	0	0
37	984574	14991	429	6	0	0	0	0	0	0	0
38	928081	70325	1526	64	4	0	0	0	0	0	0
39	967458	29875	2614	47	6	0	0	0	0	0	0
40	943064	55917	700	281	38	0	0	0	0	0	0
41	969614	29584	773	29	0	0	0	0	0	0	0
42	923639	71828	4392	127	6	7	1	0	0	0	0
43	945999	50661	3261	63	16	0	0	0	0	0	0
44	910806	85478	3156	555	4	1	0	0	0	0	0
45	934190	62856	2595	269	90	0	0	0	0	0	0
46	867253	127190	5311	220	17	9	0	0	0	0	0
47	890864	104011	4906	205	14	0	0	0	0	0	0
48	842813	146320	9557	1258	36	13	2	0	1	0	0
49	853639	135632	10239	443	45	0	2	0	0	0	0
50	829541	161437	7547	1302	166	3	4	0	0	0	0
