den	v0	v1	v2	v3	v4	v5	v6	v7	v8	v9	over9
51	172687	690092	126647	9973	487	111	0	3	0	0	0
52	285571	572719	121196	17977	2376	138	21	2	0	0	0
53	395184	505252	86389	12192	857	120	6	0	0	0	0
54	449208	409490	109898	26506	4449	404	41	2	1	0	0
55	502362	356003	96168	39951	4550	758	182	26	0	0	0
56	555213	314343	101461	24894	3354	599	123	13	0	0	0
57	535804	311418	113216	33089	5424	801	193	44	11	0	0
58	609371	236657	114088	31098	7386	1136	215	39	8	2	0
59	583045	264771	109593	33915	6518	1862	219	53	23	1	0
60	537363	268517	139491	41128	10884	2131	402	59	22	3	0
61	509692	292233	144689	39821	10867	2197	392	93	13	2	0
62	488144	286475	161799	46732	13391	2770	565	95	24	4	0
63	419088	310311	179911	65071	19233	5008	1060	250	48	15	0
64	359412	330584	197767	79529	24630	6200	1459	304	84	26	1
65	345996	339008	202275	80735	23596	6380	1568	344	71	20	3
66	269065	334095	226571	113616	40224	12080	3351	740	180	37	9
67	457444	278230	170310	68016	20031	4696	936	259	63	11	3
68	333879	330571	199508	94755	30869	8022	1820	415	127	28	0
69	287309	323425	222421	108717	42393	11899	2992	657	135	40	4
70	243707	313016	238928	124710	54915	17971	5138	1204	316	73	8
71	182578	312025	257786	149476	66179	23196	6401	1788	438	95	8
72	121462	276244	272015	182144	92612	38042	12425	3598	1063	286	37
73	123489	262416	279538	186138	92533	37826	12873	3744	1044	287	35
74	96687	246077	278785	200151	107273	46292	17133	5428	1509	512	31
75	64784	205265	272125	225037	132711	63449	24637	8477	2537	678	82
76	33506	140372	246036	251020	174617	92634	39909	14886	4849	1552	201
77	29880	127457	234706	248771	180504	102752	47460	18643	6672	2136	288
78	17992	89342	195089	243387	205653	131122	68436	30494	11986	4261	752
79	12025	64682	168216	236677	217945	151635	83696	39385	16311	6084	1158
80	21138	61512	138387	210299	218166	164312	101070	50760	21542	8716	1387
81	22338	56055	124096	195859	212966	171621	110339	60104	27931	11888	2333
82	14528	51643	112080	180656	210844	180354	121369	68935	34584	15062	3496
83	6653	31384	79276	151000	204898	199260	148786	91753	48216	22957	6043
84	2549	18579	55643	113550	174859	202240	175847	121126	70668	36465	11374
85	952	9387	37178	86881	149285	194811	191096	145251	92157	50155	18371
86	1566	7747	32162	79885	141834	186758	191144	151215	99108	56586	23130
87	416	3267	14396	45900	103114	167192	200516	181878	130188	78167	34012
88	159	2089	8965	27513	65342	118572	170873	190375	166307	116255	64966
89	596	730	4136	17715	49443	100961	155148	184930	173574	133113	93504
90	227	932	3832	13509	36867	75896	124653	163676	174417	152390	143730
91	37	175	775	3031	13210	40101	87375	140892	176924	175794	218228
92	35	366	1694	5369	13376	32066	64096	110303	152339	171032	292735
93	0	5	108	666	2905	11155	33909	74713	125380	166738	409431
94	2	28	285	1301	4975	12822	26701	51815	89675	131110	521718
95	0	0	8	58	384	2116	8434	25765	58353	104521	653139
96	0	11	286	1002	2465	4951	10195	18417	34347	62748	762631
97	0	0	0	0	11	140	982	4337	14376	36310	871512
98	0	0	0	151	751	2383	5438	9612	14640	24650	898520
99	0	0	0	0	0	18	109	625	2671	8457	966301
100	0	32	116	378	845	1579	2910	5270	8562	11627	951913
